,Sentiment,Sentiment Num,Multi,Text
209,Positive,1,1,Good  actress  .
210,Positive,1,1,"Smith   profiles   five   extraordinary   American  homes  ,  and    because    the  owners    seem   fully  aware   of    the    uses  and  abuses   of  fame   ,   it   's   a   pleasure   to   enjoy their  eccentricities  ."
211,Positive,1,2,Binoche  and  Magimel    are   perfect   in   these  roles  .
212,Positive,1,1,"When    your   leading  ladies    are    a  couple   of      screen-eating  dominatrixes   like   Goldie  Hawn  and    Susan  Sarandon   at   their  raunchy  best   ,    even  hokum    goes   down  easily  ."
213,Positive,1,1,It    's  astonishing  .
214,Positive,1,1,Tailored   to  entertain  !
215,Positive,1,1,"For    the   first  time   in   several  years   ,    Mr.  Allen    has    surpassed  himself   with    the  magic   he   's   spun   with    the   Hollywood  empress   of    Ms.   Leoni  's  Ellie."
216,Positive,1,1,"An   intelligent   ,   earnest   ,   intimate  film   that     drops   the  ball  only   when   it    pauses   for   blunt  exposition   to   make   sure  you    're   getting   its   metaphysical  point ."
217,Positive,1,1,A   modest  pleasure  that     accomplishes   its  goals   with    ease  and  confidence  .
218,Positive,1,1,What   Jackson   has   accomplished  here    is   amazing   on   a   technical  level  .
219,Positive,1,1,"As    teen  movies  go   ,    ``   Orange   County  ''   is   a   refreshing  change"
220,Positive,1,1,"Although     Life  or  Something    Like  It   is   very   much   in    the  mold   of   feel-good  movies   ,     the   cast   and   director   Stephen   Herek  's   polished  direction     pour   delightfully  piquant  wine   from   aged  bottles  ."
221,Positive,1,2,"It     is   risky   ,   intelligent   ,    romantic  and  rapturous   from   start   to  finish  ."
222,Positive,1,1,"A  pleasant    ramble   through    the  sort   of   idoosyncratic  terrain   that    Errol  Morris    has  often   dealt  with  ...   it   does   possess   a   loose   ,   lackadaisical  charm  ."
223,Positive,1,1,"This   is    a     raw  and  disturbing  tale   that    took   five  years   to  make  ,  and     the   trio  's   absorbing  narrative    is   a   heart-wrenching  showcase  indeed  ."
224,Positive,1,2,"Aside   from   being    the   funniest  movie   of   the  year   ,      Simone  ,    Andrew   Niccol  's   brilliant   anti-Hollywood  satire  ,    has    a    wickedly  eccentric  enchantment   to  it  ."
225,Positive,1,1,Watstein   handily        directs  and   edits   around    his   screenplay  's   sappier  elements  ...  and    sustains  Off     the   Hook  's  buildup   with    remarkable  assuredness   for   a  first-timer .
226,Negative,-1,-1,Just     another   fish-out-of-water  story   that   barely   stays  afloat  .
227,Positive,1,1,It     's    the  kind   of   pigeonhole-resisting  romp   that   Hollywood   too   rarely  provides  .
228,Positive,1,1,"Reinforces       the    often  forgotten  fact   of    the   world  's    remarkably  varying   human    population  and  mindset  ,  and   its   capacity   to   heal   using   creative   ,   natural   and   ancient antidotes  ."
229,Positive,1,1,A   refreshingly   authentic   coming-of-age   tale  .
230,Positive,1,1,But   fans    should   have    fun  meeting    a   brand-new  Pokemon   called  Celebi  .
231,Positive,1,2,"Whether   seen     on   a   10-inch   television  screen  or   at   your   local  multiplex   ,     the   edge-of-your-seat   ,   educational  antics   of   Steve  Irwin    are   priceless  entertainment  ."
232,Positive,1,1,Has   a   shambling  charm  ...   a    cheerfully  inconsequential  diversion  .
233,Positive,1,1,"There   are     slow  and  repetitive  parts  ,  but   it    has   just  enough   spice   to   keep   it  interesting  ."
234,Positive,1,2,"As    a   belated  nod   to   some   neglected  all-stars   ,    Standing   in    the  Shadows   of  Motown    is    cultural  history   of     the   best  kind  :      informative  ,  revealing  and  richly entertaining  ."
235,Positive,1,1,A   vivid   cinematic   portrait  .
236,Positive,1,2,"Theirs    is     a     simple  and  heart-warming  story  ,   full   of   mirth   that   should    charm   all  but   the   most  cynical  ."
237,Positive,1,1,The  film    is     an   enjoyable   family  film   --   pretty   much  aimed   at    any  youngster   who   loves  horses  .
238,Positive,1,1,"It   dares   to   be    a  little  different  ,  and    that  shading   is   what   makes   it  worthwhile  ."
239,Neutral,0,0,#NAME?
240,Positive,1,1,"The  Hours   makes   you    examine   your   own  life   in    much   the   same  way    its  characters  do  ,  and    the  experience   is  profound  ."
241,Positive,1,1,"Pretty      darn  good  ,   despite   its   smarty-pants  aura  ."
242,Positive,1,2,"So  young  ,   so  smart   ,    such  talent   ,    such   a   wise  \*\*\*  ."
243,Positive,1,1,Woo  's  fights    have   a   distinct  flair  .
244,Positive,1,1,I     do  n't   think   I   've   been     as  entranced  and   appalled   by    an   Asian  film   since    Shinya   Tsukamoto  's   Iron  Man  .
245,Positive,1,2,Frida  's   artistic  brilliance   is  undeniable  --   it   's   among    the    most   breathtakingly  designed  films   I    've  ever  seen  .
246,Neutral,0,0,"`   Charly  '  will     divide   its  audience   in     two   separate  groups  ,   those    reaching   for     more  tissues  and  those   begging   for  mercy  ..."
247,Positive,1,1,"Though     the   film  's  scenario     is  certainly  not  earthshaking   ,     this  depiction   of   fluctuating   female  sexuality    has     two   winning   lead  performances  and   charm   to  spare  ."
248,Positive,1,1,A   worthy  tribute   to     a   great  humanitarian  and   her   vibrant   `  co-stars  .  '
249,Positive,1,1,"Occasionally    funny   and   consistently  odd    ,  and  it    works   reasonably   well   as    a   star  vehicle   for  Zhao  ."
250,Neutral,0,0,"Bright   seems     alternately  amused  and   disgusted   with   this  material  ,  and   he    ca  n't   help   throwing   in    a  few   of   his   own  touches  ."
251,Positive,1,1,"It   's  predictable  ,  but   it   jumps   through    the   expected  hoops   with    style  and   even   some  depth  ."
252,Positive,1,1,"The   film  's   real  appeal     wo  n't   be    to   Clooney   fans   or   adventure  buffs    ,  but   to   moviegoers   who   enjoy    thinking   about   compelling  questions   with   no   easy  answers ."
253,Positive,1,2,The  fact   that    The  Rookie   is    a    nearly  impeccable   cinematic  experience     --  and    a   wonderful   all-ages  triumph  besides  --    is    a  miracle   akin   to    the  story    the (2 film portrays  .
254,Positive,1,2,"A    highly  intriguing  thriller  ,   coupled   with     some   ingenious   plot  devices  and  some   lavishly    built   settings  .  ."
255,Positive,1,1,it   's    a   worthwhile  tutorial   in   quantum    physics  and  slash-dash
256,Positive,1,2,Her    delivery  and  timing    are  flawless  .
257,Positive,1,1,"Works  because   ,    for   the   most  part   ,   it    avoids     the   stupid  cliches  and    formulaic  potholes   that   befall   its  brethren  ."
258,Positive,1,1,"A    miniscule  little  bleep   on   the   film  radar  ,  but   one      that  many  more  people   should   check  out"
259,Positive,1,1,"Do  n't   plan   on   the   perfect  ending  ,  but    Sweet   Home  Alabama    hits   the  mark   with   critics   who   escaped   from   a   small   town  life  ."
260,Positive,1,1,The  movie     stays  afloat   thanks   to   its   hallucinatory   production  design  .
261,Positive,1,1,Worth   the   effort   to  watch  .
262,Positive,1,2,Hawke     draws  out     the  best   from    his   large  cast   in    beautifully  articulated  portrayals   that   are    subtle  and   so   expressive   they   can   sustain    the   poetic  flights   in    Burdette 's  dialogue  .
263,Positive,1,1,Full  Frontal   is     the  antidote   for   Soderbergh  fans   who   think   he   's    gone   too  commercial   since    his   two   Oscar   nominated  films   in  2000
264,Positive,1,2,Lee  Jeong-Hyang     tells     it   so  lovingly  and   films   it   so  beautifully   that   I    could  n't   help   being   captivated   by  it  .
265,Positive,1,1,"You   have   to    pay  attention   to   follow   all   the  stories  ,  but   they    're  each  interesting  ."
266,Neutral,0,0,Enjoy  it   for   what   it  is  ;   you   can    hate  yourself  later  .
267,Positive,1,2,"The  film    is  all   a    little  Lit   Crit  101  ,  but   it   's     extremely   well  played  and   often   very  funny  ."
268,Positive,1,1,"Earns   its  laughs     from      stock  redneck  `  types  '  and   from    the   many   ,   many  moments   when   we    recognize  even   without     the   Elizabethan  prose  ,    the  play   behind (2  the (2 thing  ."
269,Positive,1,1,There     is  n't    a     weak  or  careless  performance   amongst  them  .
270,Positive,1,1,"Smart  science      fiction   for  grown-ups  ,   with     only   a  few   false  steps   along   the  way  ."
271,Positive,1,1,It    's    a   refreshing  change   from    the    self-interest  and  paranoia   that   shape     most  American  representations   of  Castro  .
272,Positive,1,1,"Though     the   controversial   Korean   filmmaker  's   latest  effort    is  not   for   all  tastes   ,   it    offers        gorgeous  imagery  ,   effective  performances  ,  and    an    increasingly  unsettling sense (2  of  foreboding  ."
273,Positive,1,1,"It       's  endearing   to   hear       Madame  D.    refer   to   her  husband     as  `  Jackie  '  --  and   he   does   make   for   excellent  company  ,   not   least   as   a   self-conscious performer  ."
274,Positive,1,1,More  than      makes  up   for    its  mawkish   posing   by  offering    rousing  spates   of   genuine  feeling  .
275,Negative,-1,-1,It    's   neither     as  romantic  nor    as  thrilling   as   it   should  be  .
276,Positive,1,1,But   it     offers  plenty   to    ponder  and    chew  on   as    its   unusual  relationship   slowly  unfolds  .
277,Positive,1,2,"Occasionally  funny  ,   always   very  colorful  and   enjoyably   overblown   in   the   traditional   AlmodÃ³var  style  ."
278,Positive,1,1,Merchant   effectively     translates     Naipaul  's   lively  mix   of   characters   from   the  page   to  screen  .
279,Positive,1,2,A     fast-moving  and  remarkable  film   that  appears   destined   to   become    a  landmark   in   Japanese  animation  .
280,Positive,1,1,"A   sweet-natured  reconsideration   of   one   of    San   Francisco  's     most  vital   ,    if  least   widely   recognized  ,   creative  fountainheads  ."
281,Positive,1,2,"This   is   one   of    the      most   visually  stunning  and   thematically  moving  epics   in   recent  memory  ,  and    in   spite   of   numerous   minor  flaws   ,   Scorsese   's   best  (2 in  more  than  a  decade  ."
282,Positive,1,1,"It    's      a   nicely   detailed  world   of   pawns   ,    bishops  and  kings  ,   of   wagers   in     dingy  backrooms  or   pristine  forests  ."
283,Positive,1,2,It   never    fails   to   engage  us  .
284,Positive,1,2,A   charming   romantic  comedy  that    is      by  far   the   lightest   Dogme  film  and   among   the   most  enjoyable  .
285,Positive,1,1,"This   is     the  kind   of  movie   that   used   to    be   right   at  home   at   the   Saturday  matinee  ,  and   it   still  is  ."
286,Positive,1,1,The  visuals   alone    make   Metropolis   worth  seeing  .
287,Positive,1,2,"Dark  ,  resonant  ,      inventively  detailed  and   packed   with      fleet  turns   of  plot  and    a  feast   of   visual  amazement  ."
288,Positive,1,1,"A    picture   that    extols    the  virtues   of    comradeship  and  community   in   a   spunky   ,   spirited  fashion  ."
289,Positive,1,1,"A   resonant  tale   of   racism   ,    revenge  and  retribution  ."
290,Positive,1,1,"This  concoction  ,   so   bizarre   to   the   adult  mind  ,     is  actually    a   charming  triumph   where    its   intended   under-12  audience   is  concerned  ."
291,Neutral,0,0,Is  it   a   total  success  ?
292,Neutral,0,0,No.  .
293,Neutral,0,0,Search   it  out  .
294,Positive,1,1,"Funny  and   ,    at  times  ,    poignant  ,   the  film   from   director   George  Hickenlooper   all      takes  place   in     Pasadena  ,  ``    a  city   where   people   still  read  .'"
295,Positive,1,1,"The   movie  's   eventual  success   should   be     credited   to   Dennis  Quaid  ,   in    fighting   trim  shape   as     an  athlete   as   well  as   an  actor"
296,Positive,1,1,Not     a   bad  journey   at  all  .
297,Positive,1,1,Sits       uneasily   as   a   horror  picture  ...  but    finds    surprising  depth   in   its  look   at    the  binds   of   a   small  family  .
298,Positive,1,1,"Windtalkers   blows     this  way  and  that  ,  but   there   's   no      mistaking   the  filmmaker   in   the   tall  grass  ,   true   to  himself  ."
299,Positive,1,1,"Eventually   ,   it     wins  you  over  ."
300,Neutral,0,0,Those   with    an  interest   in    new   or   singular  sorts   of   film  experiences    will   find   What   Time    Is  It  There  ?
301,Positive,1,2,well   worth   the  time  .
302,Positive,1,2,"Huppert     gives  Erika    a  persona   that    is   so  intriguing   that   you   find   yourself        staring  hypnotically   at  her  ,   trying   to   understand  her  and   wondering   if   she   'll  crack  ."
303,Positive,1,2,"Despite  what   anyone   believes     about   the  goal   of     its  makers  ,   the  show   ...   represents    a   spectacular  piece   of  theater  ,  and   there   's   no   denying    the talent of   the   creative  forces   behind  it  ."
304,Positive,1,1,The  reason   this  picture    works   better   than    its  predecessors   is   that   Myers    is   no  longer   simply   spoofing    the  mini-mod-madness   of   '60s   spy  movies  .
305,Neutral,0,0,"I     have  n't    seen  one   in     so  long  ,    no  wonder   I    did  n't    recognize  it   at  first  ."
306,Positive,1,1,a   compelling  portrait   of   moral  emptiness
307,Neutral,0,0,"In  Adobo   ,   ethnicity        is  not   just   the  spice  ,  but   at    the  heart   of   more   universal  concerns  ."
308,Positive,1,1,The  movie    exists   for     its   soccer  action  and   its   fine  acting  .
309,Positive,1,1,"Reinforces    the  talents   of       screenwriter   Charlie  Kaufman  ,   creator   of  Adaptation  and   Being   John  Malkovich  ."
310,Positive,1,1,"Culkin  ,   who   's   in   virtually   every  scene  ,    shines   as     a   young  man   who   uses  sarcastic   lies   like   a  shield  ."
311,Positive,1,1,"...    does    such   a   fine  job   of      engulfing  you   in   its  world  and      allying  you   with      its   characters  '  choices  ,    good  and  ill  ,   that    its  shortcomings  are  remembered  only   as   an  afterthought  ."
312,Positive,1,1,"From   spiritual    rebirth   to  bruising  defeat   ,     Vincent  's  odyssey    resonates   in     a   profound  way  ,   comparable   to    the   classic  films   of   Jean  Renoir  ."
313,Neutral,0,0,There    was   time   on   that   second   round   to   see    the  subtleties   of     Ramsay  's  portrait   of  grief  .
314,Positive,1,1,"We   can   see    the  wheels  turning  ,  and   we   might    resent  it  sometimes  ,  but   this    is  still     a   nice   little  picture  ,    made   by   bright   and   friendly  souls with   a  lot   of   good  cheer  ."
315,Positive,1,2,"An   endlessly   fascinating   ,   landmark  movie   that   is   as   bold   as   anything   the  cinema    has   seen   in  years  ."
316,Negative,-1,-1,"...      a   haunting  vision  ,   with   images   that    seem  more   like   disturbing  hallucinations  ."
317,Positive,1,2,"Mixes    likeable       personalities  ,   inventive    photography  and  cutting  ,  and   wall-to-wall   toe-tapping   music   to   paint    a  picture   of    a  subculture   that   is            at  once  exhilarating ,  silly  ,  perverse  ,  hopeful  and   always  fun  ."
318,Positive,1,2,"The   Powers  team    has    fashioned    a  comedy   with   more  laughs   than    many  ,   no  question  ."
319,Positive,1,1,"While   surprisingly  sincere   ,    this   average   little  story    is   adorned   with     some   awesome   action  photography  and  surfing  ."
320,Positive,1,1,"It    is    far   from     the  worst  ,   thanks   to    the   topical  issues   it    raises  ,    the  performances   of    Stewart  and  Hardy    ,  and   that     essential  feature  --   a  (3 decent (3 full-on  space  battle  ."
321,Positive,1,1,A   pleasurably   jacked-up  piece   of   action  moviemaking  .
322,Positive,1,1,"Reign   of  Fire   may    be   little  more   than    another  platter   of   reheated  Aliens  ,  but   it    's  still   pretty  tasty  ."
323,Positive,1,2,"Thrilling   ,  provocative   and   darkly  funny   ,    this   timely   sci-fi  mystery    works   on    so  many   different  levels   that   it    not  only  invites   ,   it    demands   repeated  viewings (2 ."
324,Positive,1,2,An  epic   of    grandeur  and  scale   that   's   been  decades    gone   from    the  popcorn   pushing    sound  stages   of  Hollywood  .
325,Neutral,0,0,I   believe    the  message   is   in   the  messenger  :    The  agent   is   a  woman  .
326,Positive,1,2,The   second  chapter   of   the   Harry   Potter  series    is    even   more  magical   than     the  first  and    simply   the   best   family  film   of   the  year  .
327,Positive,1,1,"More   honest   about    Alzheimer  's  disease   ,   I     think  ,   than  Iris  ."
328,Positive,1,2,The  acting   alone    is   worth    the  price   of  admission  .
329,Positive,1,1,"Interacting    eyeball-to-eyeball  and  toe-to-toe   ,     Hopkins  and  Norton   are   a   winning  combination  --  but   Fiennes    steals  `     Red   Dragon  '  right   from   under   their  noses  ."
330,Positive,1,2,"If   it    seems   like   a   minor  miracle   that    its   septuagenarian  star   is    young  enough   to   be      the   nonagenarian   filmmaker  's  son  ,   more  incredible   still    are    the clear-eyed    boldness  and  quiet  irony    with  which     actor  and  director   take   on    life  's   urgent  questions  ."
331,Positive,1,1,Fans   of   the   animated   wildlife   adventure  show   will   be   in   warthog  heaven  ;   others     need  not  necessarily  apply  .
332,Positive,1,2,"Without   resorting   to  hyperbole   ,   I    can   state   that    Kissing   Jessica  Stein   may   be    the   best   same-sex  romance   I   have  seen  ."
333,Positive,1,1,Nolan    bravely     treads   where    few   American  films   dare   to  delve  --   into    the  world   of    ambivalence  and  ambiguity  ...
334,Positive,1,1,"Unlike    the   nauseating  fictions    peddled   by   such   `   Have-yourself-a-happy-little-Holocaust   '  movies   as     Life   Is  Beautiful  and   Jakob   the  Liar   ,    The   Grey  Zone    is    honestenough  to   deny    the  possibility   of  hope   in  Auschwitz  ."
335,Positive,1,1,A   potent  allegorical    love  story  .
336,Positive,1,1,Even  those   who   would   like   to   dismiss   the  film   outright    should   find   much   to    mull  and  debate  .
337,Positive,1,2,"It     's   -LRB-    Ricci  's  -RRB-  best      work  yet  ,    this  girl-woman   who   sincerely   believes   she   can    thwart    the   world  's  misery   with   blind   good  will  ."
338,Positive,1,1,"Highlights    are      the   terrific  performances   by      Christopher  Plummer  ,   as   the   prime  villain  ,  and    Nathan  Lane   as     Vincent  Crummles  ,   the   eccentric   theater   company  manager ."
339,Positive,1,2,-LRB-   Howard  -RRB-   so   good   as   Leon  Barlow  ...   that   he   hardly   seems   to   be  acting  .
340,Positive,1,1,"By      taking   Entertainment  Tonight   subject  matter  and    giving  it    humor  and  poignancy   ,    Auto  Focus    becomes   both     gut-bustingly  funny  and   crushingly  depressing  ."
341,Positive,1,1,"Subversive   ,    meditative   ,    clinical  and  poetic   ,    The   Piano  Teacher    is    a   daring  work   of  genius  ."
342,Positive,1,2,"A    movie   that   will      touch    the  hearts   of   both    children  and  adults  ,   as   well  as    bring  audiences   to    the  edge   of   their  seats  ."
343,Neutral,0,0,It    's  haunting  .
344,Positive,1,1,"To    the   film  's  credit   ,        the  acting   is    fresh  and  unselfconscious  ,  and   Munch   is    a  marvel   of   reality   versus   sappy  sentiment  ."
345,Positive,1,1,"Shainberg        weaves    a    carefully  balanced  scenario   that   is   controlled   by   neither  character  ,   is   weirdly   sympathetic   to  both  and   manages   to   be    tender  and   darkly  comic ."
346,Positive,1,1,"Sturdy   ,      entertaining   period  drama  ...   both    Caine  and  Fraser    have   their  moments  ."
347,Positive,1,1,"Whether   -LRB-     Binoche  and  Magimel   -RRB-   are   being    charming  or  angst-ridden   ,   they   easily       fill   their  scenes  and   ,     fine  judges  both  ,   never   overcook   the  hysteria ."
348,Positive,1,1,"A   spunky   ,  original    take   on    a  theme   that   will   resonate   with   singles   of   many  ages  ."
349,Positive,1,1,Majidi     gets   uniformly   engaging  performances   from   his    largely  amateur  cast  .
350,Positive,1,1,Jagger   the  actor    is   someone   you   want   to   see  again  .
351,Positive,1,1,"There    is    a  kind   of   attentive  concern   that   Hoffman     brings   to   his  characters  ,   as   if   he   has   been    giving  them   private  lessons  ,  and   now   it   is time (2 for  their   first   public  recital  ."
352,Positive,1,2,A   comic  gem   with   some   serious  sparkles  .
353,Positive,1,1,U.S.  audiences    may    find   -LRB-      Attal  and  Gainsbourg  's  -RRB-    unfamiliar  personas    give   the  film    an     intimate  and  quaint  reality   that   is      a  little  closer   to   human  nature  than   what   Hollywood   typically  concocts  .
354,Positive,1,1,"Although   it   's      a  bit  smug  and  repetitive   ,    this  documentary     engages   your  brain   in    a  way    few   current  films  do  ."
355,Positive,1,1,Flawed  but  worthy    look   at   life   in   U.S.   relocation  camps  .
356,Neutral,0,0,So   I   just   did  .
357,Negative,-1,-1,The  Ring   just    left   me     cold  and  wet   like   I    was   out   in   the   Seattle  drizzle   without  rainwear  .
358,Negative,-1,-1,"For   anyone   who       grew  up   on    Disney  's   1950   Treasure  Island  ,  or   remembers   the   1934   Victor   Fleming  classic   ,    this  one    feels   like   an  impostor  ."
359,Positive,1,1,"Watching   Scarlet  Diva   ,   one    is   poised   for      titillation  ,   raw  insight  or  both  ."
360,Negative,-1,-1,The  ending    is   a  cop-out  .
361,Negative,-1,-2,"The   overall  effect     is   so   completely  inane   that   one   would   have   to   be   mighty   bored   to     even   think   of   staying   with   this   for   more    than   ,   say  ,  ten ... (2  make  that   three  minutes  ."
362,Negative,-1,-2,"This  film    was   made   to    get  laughs   from      the   slowest  person   in   the  audience  --    just   pure  slapstick   with   lots   of   inane   ,   inoffensive     screaming  and  exaggerated  facial expressions  ."
363,Negative,-1,-1,"I   doubt   anyone   will    remember   the  picture   by    the  time   Christmas   really   rolls  around  ,  but   maybe   it   'll    be   on  video   by  then  ."
364,Negative,-1,-2,Culkin    exudes   none   of    the    charm  or  charisma   that   might    keep    a    more  general  audience    even  vaguely  interested   in   his   bratty  character  .
365,Positive,1,1,The   production  values    are   up  there  .
366,Positive,1,1,The  voices     are  fine   as  well  .
367,Negative,-1,-1,"If   Shayamalan   wanted   to    tell   a  story   about    a  man   who   loses   his  faith   ,   why      did  n't  he   just     do  it  ,   instead   of    using   bad  sci-fi   as   window  dressing  ?"
368,Positive,1,1,"If   you    liked   the   1982  film  then   ,   you     'll  still    like  it  now  ."
369,Negative,-1,-1,Guillen   rarely    gets   beneath    the  surface   of  things  .
370,Negative,-1,-2,"It   's    a  film   that   hinges   on   its  casting  ,  and   Glover   really    does  n't   fit   the  part  ."
371,Negative,-1,-2,Arguably    the  year    's     silliest  and   most  incoherent  movie  .
372,Neutral,0,0,Chao    was     Chen   Kaige  's  assistant   for   years   in  China  .
373,Negative,-1,-1,He     has  not   learnt   that   storytelling   is   what    the  movies   are  about  .
374,Negative,-1,-2,Marries    the  amateurishness   of    The   Blair   Witch  Project   with    the  illogic   of   Series  7  :   The   Contenders   to   create   a    completely    crass  and  forgettable  movie  .
375,Positive,1,1,"Lovingly       choreographed   bloodshed   taking  place   in   a   pristine   movie  neverland  ,  basically  ."
376,Negative,-1,-2,This    is    junk   food  cinema   at   its  greasiest  .
377,Negative,-1,-1,"Some   ,    like  Ballistic   ,   arrive  stillborn  ...    looking   like    the   beaten   ,   well-worn   video   box  cover   of   seven  years   into   the  future  ."
378,Neutral,0,0,You    see    Robert   De  Niro     singing  -  and   dancing    to  -    West   Side  Story   show  tunes  .
379,Positive,1,1,Choose      your  reaction  :  A.  -RRB-   That   sure   is  funny  !
380,Negative,-1,-1,B.   -RRB-    That  sure    is  pathetic  !
381,Neutral,0,0,This    dramatically  shaky  contest   of  wills   only   reiterates    the   old  Hollywood  saw  :    Evil   is    interesting  and  good   is  boring  .
382,Neutral,0,0,But   what   about    the   countless   other  people   who    'd  merely   like   to    watch   a   solid  tale   about   a    universally  interesting  soul  ?
383,Negative,-1,-2,"The  character    is   too    forced  and  overwritten   to     be  funny  or   believable   much   of   the  time  ,  and   Clayburgh     does  n't  always   improve   the   over-the-top  mix  ."
384,Neutral,0,0,Every   good  actor    needs   to   do     his  or  her   own  Hamlet  .
385,Neutral,0,0,Both     awful  and  appealing  .
386,Negative,-1,-1,It     would  n't   be    my   preferred  way   of   spending     100  minutes  or   $  7.00  .
387,Negative,-1,-2,I    hated    every  minute   of  it  .
388,Positive,1,2,The  Movie    will   reach    far   beyond   its  core  demographic  .
389,Neutral,0,0,Anthony   Hopkins  ?
390,Negative,-1,-2,A     cumbersome  and  cliche-ridden  movie    greased   with    every   emotional  device   known   to  man  .
391,Positive,1,1,"Director   Ferzan  Ozpetek     creates   an   interesting  dynamic   with    the  members   of     this  group  ,   who   live   in   the   same   apartment  building  ."
392,Negative,-1,-2,The   title  Trapped     turns  out   to   be    a    pretty  fair  description   of   how   you   feel   while   you   're   watching   this   ultra-manipulative  thriller  .
393,Negative,-1,-2,"A  gimmick   in   search   of     a  movie  :   how   to      get  Carvey   into   as   many   silly  costumes  and   deliver   as   many   silly  voices   as  possible  ,    plot  mechanics (2  be damned  ."
394,Negative,-1,-1,...    lacks    the    punch  and  verve   needed   to   make    this  genre  soar  .
395,Negative,-1,-2,"There   's   no   denying       the  elaborateness   of    the   artist  's  conceptions  ,  nor   his   ability   to    depict  them   with   outrageous  elan  ,  but   really    the   whole  series  is   so  much     pretentious  nonsense  ,   lavishly   praised   by   those   who    equate  obscurity   with  profundity  ."
396,Negative,-1,-1,"The  film    would    work   much  better   as    a   video  installation   in     a  museum  ,   where   viewers   would   be   free   to  leave  ."
397,Neutral,0,0,Immediately  .
398,Negative,-1,-1,Not  even    the   Hanson  Brothers   can   save  it
399,Negative,-1,-1,"Feels   like  one   of     those  contrived  ,  only-in  -    Hollywood  productions   where    name  actors   deliver    big  performances   created   for    the   sole  purpose   of   generating   Oscar  talk (2 ."
400,Negative,-1,-1,A  waste   of   good  performances  .
401,Negative,-1,-2,"A   dreary   ,    incoherent   ,  self-indulgent  mess   of    a  movie    in  which     a  bunch   of   pompous  windbags   drone   on   inanely   for   two  hours  ...    a  cacophony   of  pretentious  , (1  meaningless  prattle  ."
402,Neutral,0,0,But   I    was  n't  .
403,Negative,-1,-2,"There     is  not    a  character   in         the  movie   with    a  shred   of  plausibility  ,    not   an  event   that      is  believable  ,  not    a  confrontation   that    is  not  staged , (1 not   a  moment   that    is  not  false  ."
404,Neutral,0,0,Imagine   the   James   Woods  character   from   Videodrome     making    a   home  movie   of   Audrey  Rose  and    showing  it   to    the  kid   from   The   Sixth  Sense  and   you   've  (2 imagined  The (2 Ring  .
405,Negative,-1,-1,This  time     Kaufman  's  imagination    has   failed  him  .
406,Negative,-1,-2,"...     an    unimaginative   ,   nasty   ,   glibly  cynical  piece  of   work  ."
407,Positive,1,1,"It        is  also  ,   at  times  ,   curiously  moving  ."
408,Negative,-1,-2,"Offensive   in    the  way   it    exploits    the   hot-button  issue   of   domestic  abuse   for  cheap  thrills  and    disgusting   in   the  manner   it   repeatedly     puts    a   small  child (1 (2 in jeopardy ,    treating   her    as  little    more   than  a  prop   to   be   cruelly  tormented  ."
409,Negative,-1,-1,"Although   based   on   a   real-life  person   ,      John  ,   in   the  movie  ,    is   a    rather  dull   person   to   be   stuck   with   for   two  hours  ."
410,Negative,-1,-1,With   Spy   Kids  2   :     The  Island   of   Lost   Dreams   writer\/director\/producer   Robert  Rodriguez    has    cobbled  together    a  film   that   feels   like    a   sugar  high   gone  awry  .
411,Negative,-1,-2,"There   is    no   entry  portal   in    The  Rules   of  Attraction  ,  and   I   spent   most   of    the   movie  feeling   depressed   by   the   shallow   ,   selfish   ,   greedy  characters ."
412,Neutral,0,0,"``    My  god   ,   I     'm   behaving   like   an  idiot  !  ''"
413,Neutral,0,0,"Yes   ,   you  are  ,   Ben  Kingsley  ."
414,Negative,-1,-1,A   dreadful   live-action   movie  .
415,Negative,-1,-2,"Never  engaging  ,     utterly  predictable  and   completely  void   of  anything   remotely    interesting  or  suspenseful  ."
416,Negative,-1,-1,"The   creaking   ,   rusty  ship   makes   a   fine  backdrop  ,  but     the   ghosts  '  haunting   is  routine  ."
417,Negative,-1,-2,"...    too  slow   ,    too     boring  ,  and   occasionally  annoying  ."
418,Negative,-1,-2,There    's    more   scatological  action   in    8   Crazy  Nights   than    a  proctologist   is   apt   to   encounter   in   an   entire  career  .
419,Neutral,0,0,The  cartoon      is  about   as   true   to    the  spirit   of    the  Festival   of  Lights   as    Mr.  Deeds   was   to   that   of   Frank  Capra  .
420,Negative,-1,-1,...     the  sum   of   the  parts     equals  largely   a   confused  mediocrity  .
421,Negative,-1,-2,There   's   suspension   of  disbelief  and   then   there    's  bad  screenwriting  ...    this  film   packs    a  wallop   of   the  latter  .
422,Negative,-1,-2,"So  stupid  ,   so  ill-conceived   ,    so   badly  drawn   ,   it    created    whole   new  levels   of  ugly  ."
423,Negative,-1,-1,A   ponderous  meditation   on   love   that    feels   significantly  longer   than   its    relatively  scant   97  minutes  .
424,Negative,-1,-2,"Watching  Trouble   Every  Day  ,   at  least   if   you    do  n't   know   what   's  coming  ,    is   like     biting   into   what   looks   like    a    juicy   ,  delicious  plum  on  (0.0833333333333333  hot  summer  day  and    coming  away   with    your   mouth  full   of   rotten   pulp   and   living  worms  ."
425,Neutral,0,0,What     would  Jesus   do   if   He   was   a   film  director  ?
426,Negative,-1,-1,"Rather   ,   you    'll   have   to      wrestle  disbelief   to   the  ground  and   then   apply   the   chloroform-soaked  handkerchief  ."
